letter,romaji
dza,づぁ
ti,てぃ
di,でぃ
Qw,ww
Qy,yy
m,m
p,p
b,b
f,f
n,n
ts,ts
dz,dz
t,t
d,d
s,s
z,z
zy,j
r,r
sy,sh
ty,ch
k,k
g,g
w,w
y,y
h,h
m,m
n,n
ky,ky
py,py
a,a
i,i
u,u
e,e
o,o
N,n
Q,Q
ii,ii
oo,oo
uu,uu
aa,aa
ee,ee
Qt,tt
Qp,pp
Qk,kk
Qd,dd
Qb,bb
Qg,gg
