form,ideophone,item,concept,meaning,status,foil,order
akarui,n,trial,BRIGHT,BRIGHT|SUNNY,iconic,unuhia|uzukyia|urukia,70
betabeta,y,trial,STICKY,STICKY|GOOEY,iconic,tyohu|howu|syoyu,71
netyanetya,y,trial,STICKY,STICKY|GOOEY,iconic,syowu|koyu|hogu,72
zyiNzyiN,y,trial,POUNDING (HEAD),POUNDING (e.g. headache)|THROBBING (e.g. headache),iconic,maQ|waQ|haQ,73
mukamuka,y,trial,ANNOYED/IMPATIENT,ANNOYED|IMPATIENT,iconic,tyinu|sizu|syiru,74
tyikatyika,y,trial,STINGING (PAIN),"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",iconic,wanu|yazu|garu,75
yagurasyika,n,trial,NOISY,LOUD|NOISY,iconic,turihuranu|tyusikyunazu|tsutyikumaru,76
dzugedzuge,y,trial,RUDE,RUDE|ARROGANT|BRAZEN,iconic,wiro|yiso|hityo,77
syibareru,n,trial,COLD (WEATHER),COLD|CHILLY,iconic,ratyuhohi|nahukyokyi|masyukoki,78
syizukaya,n,trial,QUIET,QUIET,iconic,raginutu|nakyizutyu|makirutsu,79
yaoi,n,trial,SOFT,SOFT|SQUISHY,iconic,tuea|tyuea|tsuea,80
kaQtarii,n,trial,EXHAUSTED,EXHAUSTED|TIRED|WEARY,iconic,nuhuha|zuwukya|ruyuka,81
booQ,y,trial,FUZZY,FUZZY|BLURRY|HAZY,iconic,tyeN|heN|syeN,82
igai,n,trial,BIG,BIG|MASSIVE|LARGE|HUGE,prosaic,arua|asua|atyua,83
hau,n,trial,CRAWL,CRAWL|CREEP,prosaic,nui|dzui|zyui,84
kitsuka,n,trial,EXHAUSTED,EXHAUSTED|TIRED|WEARY,prosaic,nahinu|zawizu|rayiru,85
maNpuku,n,trial,STUFFED (FULL OF FOOD),STUFFED (from eating too much)|FULL (from eating),prosaic,tyuQsyini|suQwizi|syuQyiri,86
koi,n,trial,STRONG (TASTE),RICH (taste)|STRONG (taste),prosaic,nea|zea|rea,87
miQtomonai,n,trial,SHABBY,SCRUFFY|TATTY|RAGGEDY,prosaic,tyahetyesyua|sawesekua|syayesyehua,88
nigiyaka,n,trial,NOISY,LOUD|NOISY,prosaic,syaratunu|kasatyuzu|hatyatsuru,89
hagai,n,trial,ANNOYED/IMPATIENT,ANNOYED|IMPATIENT,prosaic,nurua|dzusua|zyutyua,90
kosui,n,trial,CUNNING,CUNNING|SLY|SNEAKY,prosaic,nekia|zemia|regia,91
mabusyii,n,trial,GLARING (OVERLY BRIGHT),GLARING (light)|BLINDING (light)|DAZZLING,iconic,tyutyira|suhina|syusyima,92
syikusyiku,y,trial,WATERY (EYES),WATERY (EYES)|BLEARY (EYES),iconic,rani|nazi|mari,98
motyokoi,n,trial,TICKLING,TICKLING,iconic,tyewenea|seyezea|syegerea,99
ookii,n,trial,BIG,BIG|MASSIVE|LARGE|HUGE,iconic,ena|eza|era,100
tsuuN,y,trial,RINGING,RINGING (e.g. a ringing sound in your ears),iconic,hiQ|wiQ|yiQ,101
yaQkiri,y,trial,ANNOYED/IMPATIENT,ANNOYED|IMPATIENT,iconic,tunaha|tyuzakya|tsuraka,102
kudoi,n,trial,OILY/HEAVY (FOOD),OILY/HEAVY (food),iconic,niwea|ziyea|rihea,103
paNpaN,y,trial,STUFFED (FULL OF FOOD),STUFFED (from eating too much)|FULL (from eating),iconic,syuQ|wuQ|yuQ,104
uzyauzya,y,trial,SHAKING,SHAKING|TREMBLING,iconic,imu|iwu|ihu,105
syaNsyaN,y,trial,LIVELY (ENERGETIC),LIVELY|ENERGETIC,iconic,ruQ|nuQ|muQ,106
kurai,n,trial,DARK,DARK|DIM,iconic,nihua|zikyua|rikua,107
kutyii,n,trial,STUFFED (FULL OF FOOD),STUFFED (from eating too much)|FULL (from eating),iconic,niwa|ziya|riga,108
kutakuta,y,trial,EXHAUSTED,EXHAUSTED|TIRED|WEARY,iconic,nihu|ziwu|riyu,109
karai,n,trial,SALTY,SALTY|BRINY (taste),iconic,nuhua|zukyua|rukua,110
dotsuku,n,trial,RAP (AT THE DOOR),RAP (at the door)|KNOCK (at the door),iconic,wehini|yewizi|heyiri,111
nurunuru,y,trial,SLIMY,SLIMY|SLIPPERY|SLICK,iconic,syihi|kikyi|hiki,112
neranera,y,trial,STICKY,STICKY|GOOEY,iconic,syohu|kokyu|hoku,113
hedzune,n,trial,SAD,SAD|GLUM,prosaic,nowisyo|dzoyiko|zyohiho,114
notaru,n,trial,CRAWL,CRAWL|CREEP,prosaic,syehuhi|kewukyi|heyuki,115
egui,n,trial,ACRID (TASTE),ACRID (taste)|BITTER (taste),prosaic,oria|osia|otyia,116
hasyikai,n,trial,PRICKLING,PRICKLING|TINGLING,prosaic,nuranua|dzunazua|zyumarua,117
yogoreru,n,trial,WET,WET|SOGGY|DAMP,prosaic,terehohi|tyesekyokyi|tsetyekoki,118
mawaru,n,trial,ROLL,ROLL|SPIN,prosaic,tyuzyuhi|sutyukyi|syutsuki,119
syetsu,n,trial,EXHAUSTED,EXHAUSTED|TIRED|WEARY,prosaic,rohi|nowi|moyi,120
erai,n,trial,EXHAUSTED,EXHAUSTED|TIRED|WEARY,prosaic,ohua|okyua|okua,121
kowai,n,trial,HARD,HARD,prosaic,nezyua|zetyua|retsua,122
netyanetya,y,trial,STICKY,STICKY|GOOEY,iconic,syowu|koyu|hogu,123
zarazara,y,trial,ROUGH,ROUGH|GRITTY|COARSE,iconic,guhu|kyukyu|kuku,129
boroboro,y,trial,SHABBY,SCRUFFY|TATTY|RAGGEDY,iconic,tyehe|hekye|syeke,130
piNpiN,y,trial,LIVELY (ENERGETIC),LIVELY|ENERGETIC,iconic,syaQ|waQ|yaQ,131
keQko,n,trial,CLEAN,CLEAN|TIDY,iconic,none|zoze|rore,132
nebaneba,y,trial,STICKY,STICKY|GOOEY,iconic,syotyu|kohu|hosyu,133
kiree,n,trial,CLEAN,CLEAN|TIDY,iconic,naho|zakyo|rako,134
netyinetyi,y,trial,CLINGING,CLINGY,iconic,syowa|koya|hoga,135
subesube,y,trial,SLICK,SLIPPERY|SMOOTH,iconic,kityo|miho|gisyo,136
boNyari,y,trial,FUZZY,FUZZY|BLURRY|HAZY,iconic,tyeQtuha|heQtyukya|syeQtsuka,137
kyuukutsuka,n,trial,TIGHT,TIGHT|PINCHING,iconic,ninihinu|ziziwizu|ririyiru,138
aQtakee,n,trial,WARM,WARM,iconic,uhuno|uwuzo|uyuro,139
iQpai,n,trial,FULL (TO THE BRIM),FULL (to the brim)|FULL (to bursting),iconic,asyua|awua|ayua,140
musyimusyi,y,trial,HUMID,HUMID|MUGGY,iconic,tyira|sina|syima,141
kitsui,n,trial,TIGHT,TIGHT|PINCHING,iconic,nahia|zawia|rayia,142
iraira,y,trial,PRICKLING,PRICKLING|TINGLING,iconic,ahu|akyu|aku,143
tyiQtyai,n,trial,SMALL,SMALL|LITTLE|TINY,iconic,wawua|yayua|gagua,144
omotai,n,trial,FUZZY,FUZZY|BLURRY|HAZY,prosaic,etyehua|esewua|esyeyua,145
sabui,n,trial,COLD (WEATHER),COLD|CHILLY,prosaic,kutyia|muhia|gusyia,146
gomeku,n,trial,CRY,CRY|WAIL,prosaic,retyoni|sesozi|tyesyori,147
syiNdoi,n,trial,SLUGGISH,SLUGGISH|LETHARGIC,prosaic,raQwea|naQyea|maQhea,148
koragu,n,trial,DRY,DRY|PARCHED,prosaic,nehuri|zekyusi|rekutyi,149
koe,n,trial,SLUGGISH,SLUGGISH|LETHARGIC,prosaic,neo|zeo|reo,150
