form,ideophone,item,concept,meaning,status,foil,order
urusai,n,trial,NOISY,LOUD|NOISY,iconic,ihikua|ikyimua|ikigua,225
yaNdagunaruQ,n,trial,ANNOYED/IMPATIENT,ANNOYED|IMPATIENT,iconic,tuQwurisyuhiQ|tyuQyusikukyiQ|tsuQhutyihukiQ,226
pokapoka,y,trial,WARM,WARM,iconic,syenu|wezu|yeru,227
guNnari,y,trial,EXHAUSTED,EXHAUSTED|TIRED|WEARY,iconic,riQsyuha|siQkukya|tyiQhuka,228
nuQka,n,trial,HOT,HOT,iconic,syinu|kizu|hiru,229
zukizuki,y,trial,THROBBING,THROBBING|PULSATING,iconic,gina|kyiza|kira,230
syobosyobo,y,trial,STINGING (PAIN),"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",iconic,retye|nehe|mesye,231
yarakai,n,trial,SOFT,SOFT|SQUISHY,iconic,tuhunua|tyukyuzua|tsukurua,232
karai,n,trial,SPICY,SPICY,iconic,nuhua|zukyua|rukua,233
moyamoya,y,trial,FUZZY,FUZZY|BLURRY|HAZY,iconic,tyetu|setyu|syetsu,234
nukui,n,trial,WARM,WARM,iconic,syinia|kizia|hiria,235
kowa,n,trial,SCARY,SCARY|FRIGHTENING,iconic,nezyu|zetyu|retsu,236
syikasyika,y,trial,ITCHING,ITCHING|PRICKLING,iconic,ranu|nazu|maru,237
syiNdo,n,trial,EXHAUSTED,EXHAUSTED|TIRED|WEARY,iconic,raQwe|naQye|maQhe,238
kubiru,n,trial,BIND,BIND|TIGHTEN,prosaic,nityahi|zihakyi|risyaki,239
kaii,n,trial,PRICKLING,PRICKLING|TINGLING,prosaic,nua|zua|rua,240
hiru,n,trial,DRY,DRY|PARCHED,prosaic,nahi|dzakyi|zyaki,241
tagee,n,trial,NOISY,LOUD|NOISY,prosaic,huro|wuso|yutyo,242
kusuguQtee,n,trial,TICKLING,TICKLING,prosaic,nikiriho|zimisiwo|rigityiyo,243
arai,n,trial,COARSE,ROUGH|GRITTY|COARSE,prosaic,uhua|ukyua|ukua,244
utsukusyi,n,trial,CLEAN,CLEAN|TIDY,prosaic,ihinira|iwizina|iyirima,245
ookii,n,trial,COARSE,ROUGH|GRITTY|COARSE,prosaic,ena|eza|era,246
kudoi,n,trial,SALTY,SALTY|BRINY (taste),prosaic,niwea|ziyea|rihea,247
tyikatyika,y,trial,PRICKLING,PRICKLING|TINGLING,iconic,wanu|yazu|garu,253
sukoi,n,trial,CUNNING,CUNNING|SLY|SNEAKY,iconic,kinea|mizea|girea,254
hotoru,n,trial,HUMID,HUMID|MUGGY,iconic,nehehi|dzewekyi|zyeyeki,255
zukizuki,y,trial,POUNDING (HEAD),POUNDING (e.g. headache)|THROBBING (e.g. headache),iconic,gina|kyiza|kira,256
futoi,n,trial,BIG,BIG|MASSIVE|LARGE|HUGE,iconic,rihea|giwea|niyea,257
ookii,n,trial,NOISY,LOUD|NOISY,iconic,ena|eza|era,258
nigai,n,trial,BITTER,BITTER|ACRID,iconic,syarua|kasua|hatyua,259
dokidoki,y,trial,POUNDING (HEART),POUNDING (e.g. headache)|THROBBING (e.g. headache),iconic,wena|yeza|hera,260
syoQpee,n,trial,SALTY,SALTY|BRINY (taste),iconic,resyo|newo|meyo,261
tyoQto,n,trial,A LITTLE BIT,A LITTLE|SLIGHTLY,iconic,wehe|yewe|geye,262
komaka,n,trial,THIN,THIN|SLENDER,iconic,netyunu|zesuzu|resyuru,263
marui,n,trial,ROUND,ROUND|CIRCULAR,iconic,tyuhia|sukyia|syukia,264
haku,n,trial,SPIT,SPIT|VOMIT,iconic,nuni|dzuzi|zyuri,265
syiQketoru,n,trial,WET,WET|SOGGY|DAMP,iconic,ranohehi|nazowekyi|maroyeki,266
zyireQtai,n,trial,ANNOYED/IMPATIENT,ANNOYED|IMPATIENT,iconic,mahohua|wakyowua|hakoyua,267
