form,concept,iconic,item,meaning,foils,goodone,done,notes
yarakai,SOFT,y,trial,SOFT|SQUISHY,tsupyiruu|Qdukiwuu|tyikyunia,TRUE,NA,NA
sui,SOUR,y,trial,SOUR|ACIDIC,yia|wia|pyau,TRUE,NA,NA
syibui,SOUR,y,trial,SOUR|ACIDIC,wuwiu|pyuyiu|yaraa,TRUE,NA,NA
karai,SPICY,y,trial,SPICY,nukyia|wukia|riQkuu,TRUE,NA,NA
haku,SPIT,y,trial,SPIT|VOMIT,pyiwi|riri|wuna,TRUE,NA,NA
syibasyiba,STINGING (PAIN),y,trial,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",yuwi|pyuri|wayu,TRUE,NA,NA
syobosyobo,STINGING (PAIN),y,trial,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",pyeye|yewe|were,TRUE,NA,NA
zyikazyika,STINGING (PAIN),y,trial,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",yawi|wani|ruru,TRUE,NA,NA
iQpai,STUFFED (FULL OF FOOD),y,trial,STUFFED (from eating too much)|FULL (from eating),uwua|uyua|ariu,TRUE,NA,NA
amai,SWEET,y,trial,SWEET,uwuu|uruu|iyia,TRUE,NA,NA
futoi,THICK,y,trial,THICK|FAT,yimeu|niweu|rayea,TRUE,NA,NA
komaka,THIN,y,trial,THIN|SLENDER,wehuru|reyunu|newiwi,TRUE,NA,NA
zukizuki,THROBBING,y,trial,THROBBING|PULSATING,pyana|yara|wiwu,TRUE,NA,NA
zuNzuN,THROBBING,y,trial,THROBBING|PULSATING,pyiQ|wiQ|yaQ,TRUE,NA,NA
kibui,TIGHT,y,trial,TIGHT|PINCHING,wuwiu|ruriu|nayaa,TRUE,NA,NA
pityipityi,TIGHT,y,trial,TIGHT|PINCHING,wayu|yawu|rura,TRUE,NA,NA
tyiisoo,TIGHT,y,trial,TIGHT|PINCHING,yuwe|wupye|raye,TRUE,NA,NA
hirihiri,TINGLING,y,trial,BURNING|TINGLING,rupyu|pyuQku|naQga,TRUE,NA,NA
nukui,WARM,y,trial,WARM,pyaraa|wanaa|yiwiu,TRUE,NA,NA
pokapoka,WARM,y,trial,WARM,renu|wewu|yeri,TRUE,NA,NA
usui,WEAK,y,trial,BLAND (taste)|TASTELESS|WATERY (taste),ipyaa|iyaa|awiu,TRUE,NA,NA
nureru,WET,y,trial,WET|SOGGY|DAMP,yaQgoQka|pyakopya|wikyoQgi,TRUE,NA,NA
syimeQpoi,WET,y,trial,WET|SOGGY|DAMP,yuhoweu|pyuroreu|wawoyea,TRUE,NA,NA
syiQketoru,WET,y,trial,WET|SOGGY|DAMP,yaroyepya|wawomeQka|pyunoweQpi,TRUE,NA,NA
syitosyito,WET,y,trial,WET|SOGGY|DAMP,pyuwe|wume|yaye,TRUE,NA,NA
ookii,ROUGH,n,trial,ROUGH|GRITTY|COARSE,eru|enu|ewa,TRUE,NA,NA
sukosyi,A LITTLE,n,trial,A LITTLE|SLIGHTLY,wireya|pyiwepya|yanewu,TRUE,NA,NA
iratyimonai,ANNOYED/IMPATIENT,n,trial,ANNOYED|IMPATIENT,aQkiyuhewua|akyiruweyua|upyuwarepyiu,TRUE,NA,NA
kubiru,BIND,n,trial,BIND|TIGHTEN,niwaQpi|wirapyi|rayukya,TRUE,NA,NA
kukuru,BIND,n,trial,BIND|TIGHTEN,rarikyi|naniki|wiwapya,TRUE,NA,NA
syibaru,BIND,n,trial,BIND|TIGHTEN,yarika|wawiQga|pyuyukyi,TRUE,NA,NA
kamu,CHEW,n,trial,CHEW,wiwi|rihi|nura,TRUE,NA,NA
utsukusyi,CLEAN,n,trial,CLEAN|TIDY,ipyaniwa|iwawiya|ayirapyu,TRUE,NA,NA
naku,CRY,n,trial,CRY|WAIL,pyiwi|wini|yura,TRUE,NA,NA
herakoi,CUNNING,n,trial,CUNNING|SLY|SNEAKY,pyokuwea|roQgunea|nokyireu,TRUE,NA,NA
hiru,DRY,n,trial,DRY|PARCHED,rupya|nuka|wakyi,TRUE,NA,NA
kowai,EXHAUSTED,n,trial,EXHAUSTED|TIRED|WEARY,retyuu|weQtuu|neQdia,TRUE,NA,NA
tsukareta,EXHAUSTED,n,trial,EXHAUSTED|TIRED|WEARY,waripyomu|pyanikowu|yiwuQgoyi,TRUE,NA,NA
hiratai,FLAT,n,trial,FLAT|SMOOTH,rupyiyuu|nukimuu|pyaQkuwia,TRUE,NA,NA
narui,FLAT,n,trial,FLAT|SMOOTH,yikyia|pyikia|wupyau,TRUE,NA,NA
tairana,FLAT,n,trial,FLAT|SMOOTH,yuuQguwi|muuQpupyi|wiapyiyu,TRUE,NA,NA
iteru,FREEZE,n,trial,FREEZE,uyoQpi|uwopyi|amoQga,TRUE,NA,NA
omosyaiN,GLAD,n,trial,GLAD|HAPPY,ereyuaQ|ewewuaQ|eyepyiuQ,TRUE,NA,NA
uresyii,GLAD,n,trial,GLAD|HAPPY,akyopyu|aQpowu|ipyoya,TRUE,NA,NA
mabaii,GLARING (OVERLY BRIGHT),n,trial,GLARING (light)|BLINDING (light)|DAZZLING,yuwuu|wuyuu|hiria,TRUE,NA,NA
ikiru,HUMID,n,trial,HUMID|MUGGY,uwuQka|urukya|anapyi,TRUE,NA,NA
himozyii,HUNGRY,n,trial,HUNGRY|STARVING,pyawewu|rareru|nuheya,TRUE,NA,NA
sekarasyika,NOISY,n,trial,LOUD|NOISY,wowikiyuwi|pyoniQpiwuri|yorukyupyanu,TRUE,NA,NA
aburaQkoi,OILY/HEAVY (FOOD),n,trial,OILY/HEAVY (food),uwaQgirea|urapyiwea|iyiQpuneu,TRUE,NA,NA
mutsugoi,OILY/HEAVY (FOOD),n,trial,OILY/HEAVY (food),rawihea|wapyirea|yiyaweu,TRUE,NA,NA
syitsukoi,OILY/HEAVY (FOOD),n,trial,OILY/HEAVY (food),wuwiwea|pyupyinea|yayareu,TRUE,NA,NA
egarai,PRICKLING,n,trial,PRICKLING|TINGLING|SCRATCHING,oriQkiu|owiQgiu|ohuQpua,TRUE,NA,NA
hadagu,RAP (AT THE DOOR),n,trial,RAP (at the door)|KNOCK (at the door),wiyuwi|pyiwuhi|ruhira,TRUE,NA,NA
arai,ROUGH,n,trial,ROUGH|GRITTY|COARSE,ipyua|iQgua|uQkiu,TRUE,NA,NA
futoi,ROUGH,n,trial,ROUGH|GRITTY|COARSE,nayeu|rameu|yiwea,TRUE,NA,NA
gurasyi,SAD,n,trial,SAD|GLUM,wipyupyu|hiQguyu|raQkiwa,TRUE,NA,NA
setsunai,SAD,n,trial,SAD|GLUM,pyoyiwia|wopyiyia|yowapyuu,TRUE,NA,NA
kudoi,SALTY,n,trial,SALTY|BRINY (taste),riheu|niweu|wayea,TRUE,NA,NA
ezui,SCARY,n,trial,SCARY|FRIGHTENING,oyiu|opyiu|owaa,TRUE,NA,NA
kyootee,SCARY,n,trial,SCARY|FRIGHTENING,wewo|remo|neyo,TRUE,NA,NA
otorosyii,SCARY,n,trial,SCARY|FRIGHTENING,eyepyewa|emeQgepya|ewekyeyu,TRUE,NA,NA
bisyoQtanee,SHABBY,n,trial,SCRUFFY|TATTY|RAGGEDY,wuwemupyo|ruyewuwo|yapyeyiyo,TRUE,NA,NA
misuborasyii,SHABBY,n,trial,SCRUFFY|TATTY|RAGGEDY,hayiweQkiwa|wapyirepyipya|ruwayekyuyu,TRUE,NA,NA
nomeQkoi,SLICK,n,trial,SLIPPERY|SMOOTH,pyehorea|werowea|yewoneu,TRUE,NA,NA
doNkusai,SLOW,n,trial,SLOW,heQrayiu|yeQnapyiu|weQwiwua,TRUE,NA,NA
erai,SLUGGISH,n,trial,SLUGGISH|LETHARGIC,oQkia|oQgia|opyuu,TRUE,NA,NA
ibii,SMOKY,n,trial,SMOKY,awu|ayu|ura,TRUE,NA,NA
kebutai,SMOKY,n,trial,SMOKY,nowiyiu|royiwiu|woramua,TRUE,NA,NA
hiroi,SPACIOUS,n,trial,SPACIOUS|WIDE,wuQpeu|ruQgeu|nakyea,TRUE,NA,NA
yabuku,TEAR,n,trial,TEAR|RIP,Qdurara|tsuyawa|tiwini,TRUE,NA,NA
hosoi,THIN,n,trial,THIN|SLENDER,rewea|weyea|pyepyeu,TRUE,NA,NA
kosobai,TICKLING,n,trial,TICKLING,weyeyuu|reweruu|nepyewia,TRUE,NA,NA
kusuguQtee,TICKLING,n,trial,TICKLING,rapyawimo|wawahiwo|niyirayo,TRUE,NA,NA
komaNka,TIGHT,n,trial,TIGHT|PINCHING,wewiQru|neyiQwu|reruQni,TRUE,NA,NA
amai,WEAK,n,trial,BLAND (taste)|TASTELESS|WATERY (taste),ihiu|iriu|uyua,TRUE,NA,NA
