form,concept,iconic,item,meaning,foils,goodone,done,notes
syibareru,COLD (WEATHER),y,trial,COLD|CHILLY,masyukoki|nahukyokyi|ratyuhohi,FALSE,yes,NA
suzusyii,COOL,y,trial,COOL|FRESH,kigira|mikyina|gikima,TRUE,yes,NA
semai,CRAMPED,y,trial,CRAMPED|TIGHT,kotyua|mosua|gosyua,TRUE,yes,NA
niyaniya,CRAMPING (STOMACH),y,trial,CRAMPING (e.g. in stomach)|SPASMING (e.g. in stomach),syatu|katyu|hatsu,TRUE,yes,NA
kurai,DARK,y,trial,DARK|DIM,nihua|zikyua|rikua,TRUE,yes,NA
hetoheto,EXHAUSTED,y,trial,EXHAUSTED|TIRED|WEARY,nohe|dzowe|zyoye,TRUE,yes,NA
iQpai,FULL (TO THE BRIM),y,trial,FULL (to the brim)|FULL (to bursting),asyua|awua|ayua,TRUE,yes,NA
mabusyii,GLARING (OVERLY BRIGHT),y,trial,GLARING (light)|BLINDING (light)|DAZZLING,tyutyira|suhina|syusyima,TRUE,yes,NA
musyimusyi,HUMID,y,trial,HUMID|MUGGY,tyira|sina|syima,TRUE,yes,NA
zyimezyime,HUMID,y,trial,HUMID|MUGGY,matyo|waso|hasyo,TRUE,yes,NA
tyikutyiku,ITCHING,y,trial,ITCHING|PRICKLING,wani|yazi|gari,TRUE,yes,NA
piNpiN,LIVELY (ENERGETIC),y,trial,LIVELY|ENERGETIC,syaQ|waQ|yaQ,TRUE,yes,NA
syaNsyaN,LIVELY (ENERGETIC),y,trial,LIVELY|ENERGETIC,ruQ|nuQ|muQ,TRUE,yes,NA
yagurasyika,NOISY,y,trial,LOUD|NOISY,turihuranu|tyusikyunazu|tsutyikumaru,TRUE,yes,NA
yakamasyii,NOISY,y,trial,LOUD|NOISY,tunutyura|tyuzusuna|tsurusyuma,TRUE,yes,NA
kudoi,OILY/HEAVY (FOOD),y,trial,OILY/HEAVY (food),niwea|ziyea|rihea,TRUE,yes,NA
omoi,OILY/HEAVY (FOOD),y,trial,OILY/HEAVY (food),etyea|esea|esyea,FALSE,yes,NA
igaiga,PRICKLING,y,trial,PRICKLING|TINGLING|SCRATCHING,aru|asu|atyu,TRUE,yes,NA
iraira,PRICKLING,y,trial,PRICKLING|TINGLING|SCRATCHING,ahu|akyu|aku,TRUE,yes,NA
syizukaya,QUIET,y,trial,QUIET,raginutu|nakyizutyu|makirutsu,TRUE,yes,NA
dotsuku,RAP (AT THE DOOR),y,trial,RAP (at the door)|KNOCK (at the door),wehini|yewizi|heyiri,TRUE,yes,NA
kiiN,RINGING,y,trial,RINGING (e.g. a ringing sound in your ears),naQ|zaQ|raQ,TRUE,yes,NA
tsuuN,RINGING,y,trial,RINGING (e.g. a ringing sound in your ears),hiQ|wiQ|yiQ,TRUE,yes,NA
zarazara,ROUGH,y,trial,ROUGH|GRITTY|COARSE,guhu|kyukyu|kuku,TRUE,yes,NA
dzugedzuge,RUDE,y,trial,RUDE|ARROGANT|BRAZEN,wiro|yiso|hityo,TRUE,yes,NA
karai,SALTY,y,trial,SALTY|BRINY (taste),nuhua|zukyua|rukua,TRUE,yes,NA
oQkanai,SCARY,y,trial,SCARY|FRIGHTENING,enusyua|ezukua|eruhua,TRUE,yes,NA
boroboro,SHABBY,y,trial,SCRUFFY|TATTY|RAGGEDY,tyehe|hekye|syeke,TRUE,yes,NA
uzyauzya,SHAKING,y,trial,SHAKING|TREMBLING,imu|iwu|ihu,TRUE,yes,NA
subesube,SLICK,y,trial,SLIPPERY|SMOOTH,kityo|miho|gisyo,TRUE,yes,NA
nebaneba,SLIMY,y,trial,SLIMY|GOOEY|SLIPPERY,syotyu|kohu|hosyu,TRUE,yes,NA
nurunuru,SLIMY,y,trial,SLIMY|GOOEY|SLIPPERY,syihi|kikyi|hiki,TRUE,yes,NA
kapokapo,SLOSHING,y,trial,SLOSHING|SPLASHING,nusye|zuwe|ruye,TRUE,yes,NA
osoi,SLOW,y,trial,SLOW,ekea|emea|egea,TRUE,yes,NA
darui,SLUGGISH,y,trial,SLUGGISH|LETHARGIC,wuhia|yukyia|hukia,TRUE,yes,NA
tyiQtyai,SMALL,y,trial,SMALL|LITTLE|TINY,wawua|yayua|gagua,TRUE,yes,NA
betabeta,STICKY,y,trial,STICKY|GOOEY|GLOOPY,tyohu|howu|syoyu,TRUE,yes,NA
nebaneba,STICKY,y,trial,STICKY|GOOEY|GLOOPY,syotyu|kohu|hosyu,TRUE,yes,NA
netyanetya,STICKY,y,trial,STICKY|GOOEY|GLOOPY,syowu|koyu|hogu,TRUE,yes,NA
tyikatyika,STINGING (PAIN),y,trial,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",wanu|yazu|garu,TRUE,yes,NA
kutyii,STUFFED (FULL OF FOOD),y,trial,STUFFED (from eating too much)|FULL (from eating),niwa|ziya|riga,TRUE,yes,NA
paNpaN,STUFFED (FULL OF FOOD),y,trial,STUFFED (from eating too much)|FULL (from eating),syuQ|wuQ|yuQ,TRUE,yes,NA
suu,SUCK,y,trial,SUCK,ki|mi|gi,TRUE,yes,NA
saku,TEAR,y,trial,TEAR|RIP,kuni|muzi|guri,TRUE,yes,NA
hirihiri,THROBBING,y,trial,THROBBING|PULSATING,naha|dzakya|zyaka,TRUE,yes,NA
kitsui,TIGHT,y,trial,TIGHT|PINCHING,nahia|zawia|rayia,TRUE,yes,NA
kyuukutsuka,TIGHT,y,trial,TIGHT|PINCHING,ninihinu|ziziwizu|ririyiru,TRUE,yes,NA
aQtakee,WARM,y,trial,WARM,uhuno|uwuzo|uyuro,TRUE,yes,NA
syikusyiku,WATERY (EYES),y,trial,WATERY (EYES)|BLEARY (EYES),rani|nazi|mari,FALSE,yes,NA
syobosyobo,WATERY (EYES),y,trial,WATERY (EYES)|BLEARY (EYES),retye|nehe|mesye,TRUE,yes,NA
syiQpori,WET,y,trial,WET|SOGGY|DAMP,rasyeha|nawekya|mayeka,TRUE,yes,NA
egui,ACRID (TASTE),n,trial,ACRID (taste)|BITTER (taste),oria|osia|otyia,TRUE,yes,NA
hagai,ANNOYED/IMPATIENT,n,trial,ANNOYED|IMPATIENT,nurua|dzusua|zyutyua,TRUE,yes,NA
modokasyii,ANNOYED/IMPATIENT,n,trial,ANNOYED|IMPATIENT,tyewenura|seyezuna|syeheruma,TRUE,yes,NA
igai,BIG,n,trial,BIG|MASSIVE|LARGE|HUGE,arua|asua|atyua,TRUE,yes,NA
sabui,COLD (WEATHER),n,trial,COLD|CHILLY,kutyia|muhia|gusyia,TRUE,yes,NA
hau,CRAWL,n,trial,CRAWL|CREEP,nui|dzui|zyui,TRUE,yes,NA
notaru,CRAWL,n,trial,CRAWL|CREEP,syehuhi|kewukyi|heyuki,TRUE,yes,NA
gomeku,CRY,n,trial,CRY|WAIL,retyoni|sesozi|tyesyori,TRUE,yes,NA
kosui,CUNNING,n,trial,CUNNING|SLY|SNEAKY,nekia|zemia|regia,TRUE,yes,NA
akaanakaQta,DARK,n,trial,DARK|DIM,unusyunuhu|uzukuzuwu|uruhuruyu,TRUE,yes,NA
kawaku,DRY,n,trial,DRY|PARCHED,nuzyuni|zutyuzi|rutsuri,TRUE,yes,NA
koragu,DRY,n,trial,DRY|PARCHED,nehuri|zekyusi|rekutyi,TRUE,yes,NA
kara,EMPTY,n,trial,EMPTY,nuhu|zukyu|ruku,TRUE,yes,NA
dareta,EXHAUSTED,n,trial,EXHAUSTED|TIRED|WEARY,wuhohu|yukyowu|hukoyu,TRUE,yes,NA
erai,EXHAUSTED,n,trial,EXHAUSTED|TIRED|WEARY,ohua|okyua|okua,TRUE,yes,NA
kitsuka,EXHAUSTED,n,trial,EXHAUSTED|TIRED|WEARY,nahinu|zawizu|rayiru,TRUE,yes,NA
koenee,EXHAUSTED,n,trial,EXHAUSTED|TIRED|WEARY,neosyo|zeoko|reoho,TRUE,yes,NA
kooru,FREEZE,n,trial,FREEZE,nehi|zekyi|reki,TRUE,yes,NA
kowai,HARD,n,trial,HARD,nezyua|zetyua|retsua,TRUE,yes,NA
hasyikai,ITCHING,n,trial,ITCHING|PRICKLING,nuranua|dzunazua|zyumarua,TRUE,yes,NA
kaii,ITCHING,n,trial,ITCHING|PRICKLING,nua|zua|rua,TRUE,yes,NA
karui,LIGHT,n,trial,LIGHT|AIRY,nuhia|zukyia|rukia,TRUE,yes,NA
geNki,LIVELY (ENERGETIC),n,trial,LIVELY|ENERGETIC,roQna|soQza|tyoQra,TRUE,yes,NA
nigiyaka,NOISY,n,trial,LOUD|NOISY,syaratunu|kasatyuzu|hatyatsuru,TRUE,yes,NA
hasyikai,PRICKLING,n,trial,PRICKLING|TINGLING|SCRATCHING,nuranua|dzunazua|zyumarua,TRUE,yes,NA
mawaru,ROLL,n,trial,ROLL|SPIN,tyuzyuhi|sutyukyi|syutsuki,TRUE,yes,NA
deQkai,ROUGH,n,trial,ROUGH|GRITTY|COARSE,wonua|yozua|horua,TRUE,yes,NA
kanasyii,SAD,n,trial,SAD|GLUM,nusyura|zukuna|ruhuma,TRUE,yes,NA
tsurai,SAD,n,trial,SAD|GLUM,hihua|wikyua|yikua,TRUE,yes,NA
kaku,SCRATCH,n,trial,SCRATCH,nuni|zuzi|ruri,TRUE,yes,NA
miQtomonai,SHABBY,n,trial,SCRUFFY|TATTY|RAGGEDY,tyahetyesyua|sawesekua|syayesyehua,TRUE,yes,NA
kitsuka,SLUGGISH,n,trial,SLUGGISH|LETHARGIC,nahinu|zawizu|rayiru,TRUE,yes,NA
syiNdoi,SLUGGISH,n,trial,SLUGGISH|LETHARGIC,raQwea|naQyea|maQhea,TRUE,yes,NA
koi,STRONG (TASTE),n,trial,RICH (taste)|STRONG (taste),nea|zea|rea,TRUE,yes,NA
maNpuku,STUFFED (FULL OF FOOD),n,trial,STUFFED (from eating too much)|FULL (from eating),tyuQsyini|suQwizi|syuQyiri,TRUE,yes,NA
sabaku,TEAR,n,trial,TEAR|RIP,kutyuni|muhuzi|gusyuri,TRUE,yes,NA
mizukusai,WEAK,n,trial,BLAND (taste)|TASTELESS|WATERY (taste),tyaginikua|sakyizimua|syakirigua,TRUE,yes,NA
zyireQtai,ANNOYED/IMPATIENT,y,trial,ANNOYED|IMPATIENT,yuQkomua|rukyowua|wakoyiu,TRUE,NA,NA
moyamoya,CLEAR,y,trial,FUZZY|BLURRY|HAZY,reQti|heti|yeQpu,TRUE,NA,NA
saQpari,CLEAR,y,trial,CLEAR|REFRESHED,wurupya|pyuyuQpa|yiwiku,TRUE,NA,NA
guNnari,EXHAUSTED,y,trial,EXHAUSTED|TIRED|WEARY,hiQwiku|wiQyipyu|raQpyuQga,TRUE,NA,NA
syibareru,FREEZE,y,trial,FREEZE,wurukopyi|yuwuQgoki|pyayiQkoQpa,TRUE,NA,NA
zyukazyuka,HUMID,y,trial,HUMID|MUGGY,yini|wiri|rawu,TRUE,NA,NA
guzyuguzyu,OOZING,y,trial,OOZING|DRIBBLING|SEEPING OUT (e.g. liquid),wara|hawa|riyi,TRUE,NA,NA
gaNgaN,POUNDING (HEAD),y,trial,POUNDING (e.g. headache)|THROBBING (e.g. headache),wiQ|hiQ|ruQ,TRUE,NA,NA
zukizuki,POUNDING (HEAD),y,trial,POUNDING (e.g. headache)|THROBBING (e.g. headache),pyinu|yiwu|wara,TRUE,NA,NA
